date,value,GPD_per_capita,eu_prod_index
9/16/12,782086.6008,50070.1416,96.5
9/17/12,621278.2267,50070.1416,96.5
9/18/12,606339.3939,50070.1416,96.5
9/19/12,610369.246,50070.1416,96.5
9/20/12,616372.5373,50070.1416,96.5
9/21/12,726493.3637,50070.1416,96.5
9/22/12,807302.9226,50070.1416,96.5
9/23/12,812844.5996,50070.1416,96.5
9/24/12,581069.4396,50070.1416,96.5
9/25/12,640265.5619,50070.1416,96.5
9/26/12,591438.9299,50070.1416,96.5
9/27/12,605450.5278,50070.1416,96.5
9/28/12,730516.8825,50070.1416,96.5
9/29/12,774307.3608,50070.1416,96.5
9/30/12,817034.2741,50070.1416,96.5
10/1/12,625229.6691,50070.1416,95.8
10/2/12,552931.4974,50070.1416,95.8
10/3/12,571597.339,50070.1416,95.8
10/4/12,614549.3811,50070.1416,95.8
10/5/12,687913.0499,50070.1416,95.8
10/6/12,787348.3076,50070.1416,95.8
10/7/12,813835.0536,50070.1416,95.8
10/8/12,585952.478,50070.1416,95.8
10/9/12,597566.7516,50070.1416,95.8
10/10/12,618161.8708,50070.1416,95.8
10/11/12,604740.3045,50070.1416,95.8
10/12/12,741479.7551,50070.1416,95.8
10/13/12,823876.1315,50070.1416,95.8
10/14/12,775129.7653,50070.1416,95.8
10/15/12,609668.7818,50070.1416,95.8
10/16/12,595497.0691,50070.1416,95.8
10/17/12,592323.4092,50070.1416,95.8
10/18/12,592198.0717,50070.1416,95.8
10/19/12,733626.3692,50070.1416,95.8
10/20/12,817061.9236,50070.1416,95.8
10/21/12,790606.075,50070.1416,95.8
10/22/12,598140.4549,50070.1416,95.8
10/23/12,620978.0326,50070.1416,95.8
10/24/12,643611.816,50070.1416,95.8
10/25/12,613395.1352,50070.1416,95.8
10/26/12,701508.1264,50070.1416,95.8
10/27/12,814059.1054,50070.1416,95.8
10/28/12,833041.4872,50070.1416,95.8
10/29/12,620114.8082,50070.1416,95.8
10/30/12,600058.5117,50070.1416,95.8
10/31/12,589149.4809,50070.1416,95.8
11/1/12,646514.6047,50070.1416,95.1
11/2/12,734476.4633,50070.1416,95.1
11/3/12,796161.2558,50070.1416,95.1
11/4/12,807057.6562,50070.1416,95.1
11/5/12,611649.8715,50070.1416,95.1
11/6/12,603209.7584,50070.1416,95.1
11/7/12,609189.6131,50070.1416,95.1
11/8/12,643109.4572,50070.1416,95.1
11/9/12,748934.2163,50070.1416,95.1
11/10/12,783602.6333,50070.1416,95.1
11/11/12,852232.2347,50070.1416,95.1
11/12/12,666695.8521,50070.1416,95.1
11/13/12,657777.4241,50070.1416,95.1
11/14/12,600933.6486,50070.1416,95.1
11/15/12,646896.2679,50070.1416,95.1
11/16/12,751863.5152,50070.1416,95.1
11/17/12,822200.6597,50070.1416,95.1
11/18/12,817424.3464,50070.1416,95.1
11/19/12,659881.8111,50070.1416,95.1
11/20/12,655548.7461,50070.1416,95.1
11/21/12,625782.8727,50070.1416,95.1
11/22/12,672133.9012,50070.1416,95.1
11/23/12,768745.2891,50070.1416,95.1
11/24/12,858775.2431,50070.1416,95.1
11/25/12,850892.1375,50070.1416,95.1
11/26/12,662607.345,50070.1416,95.1
11/27/12,639288.6803,50070.1416,95.1
11/28/12,623707.2244,50070.1416,95.1
11/29/12,614169.9562,50070.1416,95.1
11/30/12,752254.9528,50070.1416,95.1
12/1/12,851517.3041,50070.1416,95.6
12/2/12,858722.5558,50070.1416,95.6
